steps,avg_reward
2080000,-1795.800048828125
2090000,-3296.39990234375
2100000,-18516.599609375
2110000,-937.9000244140625
2120000,-949.0999755859375
2130000,-945.7999877929688
2140000,-944.4000244140625
2150000,-1408.199951171875
2160000,-1107.5999755859375
2170000,-1267.5999755859375
2180000,-1554.800048828125
2190000,-433.8999938964844
2200000,-617.4000244140625
2210000,-10731.0
2220000,-927.5
2230000,-3547.699951171875
2240000,-1257.5
2250000,-9446.599609375
2260000,-1758.5
2270000,-915.9000244140625
2280000,-1107.5999755859375
2290000,-945.0999755859375
2300000,-929.5
2310000,-8111.2001953125
2320000,-10333.2001953125
2330000,-918.4000244140625
2340000,-6206.7001953125
2350000,-1325.199951171875
2360000,-954.9000244140625
2370000,-944.5999755859375
2380000,-5482.5
2390000,-924.0999755859375
2400000,-2998.199951171875
2410000,-914.7999877929688
2420000,-938.4000244140625
2430000,-1907.0999755859375
2440000,-2566.0
2450000,-1482.300048828125
2460000,-1615.5999755859375
2470000,-1605.800048828125
2480000,-1834.800048828125
2490000,-986.2999877929688
2500000,-955.2000122070312
2510000,-2833.5
2520000,-2160.300048828125
2530000,-1133.5
2540000,-13401.099609375
2550000,-906.5
2560000,-1116.9000244140625
2570000,-1835.0999755859375
2580000,-642.7000122070312
2590000,-8029.7001953125
2600000,-6535.60009765625
2610000,-1788.4000244140625
2620000,-2048.39990234375
2630000,-7981.10009765625
2640000,-652.2999877929688
2650000,-2030.300048828125
2660000,-959.5
2670000,-2075.199951171875
2680000,-1287.699951171875
2690000,-1587.699951171875
2700000,-1923.199951171875
2710000,-1129.300048828125
2720000,-1285.0999755859375
2730000,-13220.400390625
2740000,-2922.5
2750000,-2910.39990234375
2760000,-1305.0999755859375
2770000,-756.0
2780000,-7695.2001953125
2790000,-1085.300048828125
2800000,-2097.300048828125
2810000,-1087.199951171875
2820000,-1013.9000244140625
2830000,-1017.4000244140625
2840000,-935.2000122070312
2850000,-924.5
2860000,-8794.400390625
2870000,-936.2000122070312
2880000,-912.7000122070312
2890000,-2064.300048828125
2900000,-1737.4000244140625
2910000,-2074.10009765625
2920000,-1222.5999755859375
2930000,-1225.0
2940000,-1740.4000244140625
2950000,-17043.0
2960000,-1383.300048828125
2970000,-2561.89990234375
2980000,-937.0
2990000,-8166.0
3000000,-1457.300048828125
3010000,-1174.0999755859375
3020000,-6601.10009765625
3030000,-1842.5
3040000,-2702.800048828125
3050000,-9184.7001953125
3060000,-29391.0
3070000,-2613.699951171875
3080000,-1578.4000244140625
3090000,-2033.5999755859375
3100000,-692.2000122070312
3110000,-8883.599609375
3120000,-1305.199951171875
3130000,-2102.5
3140000,-3131.60009765625
3150000,-6092.2001953125
3160000,-1224.5999755859375
3170000,-3496.800048828125
3180000,-3383.60009765625
3190000,-4451.5
3200000,-4287.60009765625
3210000,-17447.900390625
3220000,-15466.5
3230000,-10545.7998046875
3240000,-12376.099609375
3250000,-1653.300048828125
3260000,-3832.60009765625
3270000,-2300.300048828125
3280000,-5124.10009765625
3290000,-4804.5
3300000,-2445.10009765625
3310000,-1367.9000244140625
3320000,-4883.89990234375
3330000,-16723.19921875
3340000,-10242.599609375
3350000,-15299.900390625
3360000,-1214.5
3370000,-936.7999877929688
3380000,-938.0
3390000,-4122.89990234375
3400000,-1124.5999755859375
3410000,-620.0
3420000,-4594.60009765625
3430000,-7875.7001953125
3440000,-1527.800048828125
3450000,-4504.5
3460000,-20671.5
3470000,-6775.60009765625
3480000,-2086.800048828125
3490000,-14945.5
3500000,-5185.7998046875
3510000,-39011.30078125
3520000,-930.7999877929688
3530000,-2479.800048828125
3540000,-1057.199951171875
3550000,-13050.900390625
3560000,-2814.0
3570000,-16708.0
3580000,-5213.2998046875
3590000,-3023.800048828125
3600000,-1039.9000244140625
3610000,-3412.5
3620000,-21241.599609375
3630000,-5401.7998046875
3640000,-1282.9000244140625
3650000,-582.5
3660000,-1313.4000244140625
3670000,-2454.800048828125
3680000,-1320.0999755859375
3690000,-3045.10009765625
3700000,-1093.5
3710000,-24334.30078125
3720000,-5882.2998046875
3730000,-923.5
3740000,-2604.10009765625
3750000,-1575.5999755859375
3760000,-2235.199951171875
3770000,-6868.2001953125
3780000,-946.0999755859375
3790000,-7175.10009765625
3800000,-705.7999877929688
3810000,-1245.9000244140625
3820000,-12714.2001953125
3830000,-2153.300048828125
3840000,-1485.0999755859375
3850000,-2064.800048828125
3860000,-3142.39990234375
3870000,-13928.7001953125
3880000,-1725.300048828125
3890000,-10252.5
3900000,-2953.5
3910000,-3929.10009765625
3920000,-4123.7001953125
3930000,-4780.0
3940000,-2221.39990234375
